BotName, Behaviour, PositionX, PositionY, OrientationX, OrientationY,  DistanceToEnemyFlag, DistanceToOwnFlag, DistanceToEnemyBase, DistanceToOwnBase, DistanceToEnemyFlagScore, DistanceToOwnFlagScore, DistanceToEnemyFlagSpawn, DistanceToOwnFlagSpawn, Visibility, DistanceToNearestEnemy, GameState
0, 0, 51, 7, 3.0779297, 10, 6, 66, 52, 42, 50, 10, 10, 31, 999999, 0, 3, 12700
0, 0, 51, 8, 3.1118703, 9, 5, 65, 51, 41, 49, 9, 9, 34, 999999, 0, 3, 12833
0, 0, 50, 8, -3.135346, 8, 4, 64, 52, 42, 50, 8, 8, 32, 999999, 0, 3, 12966
0, 0, 50, 8, -3.0969691, 8, 4, 64, 52, 42, 50, 8, 8, 32, 999999, 0, 3, 13100
0, 0, 50, 8, -3.0576284, 8, 4, 64, 52, 42, 50, 8, 8, 32, 999999, 0, 3, 13233
0, 0, 49, 8, -3.0151799, 7, 3, 63, 53, 43, 51, 7, 7, 28, 999999, 0, 3, 13366
0, 0, 49, 8, -2.967922, 7, 3, 63, 53, 43, 51, 7, 7, 28, 999999, 0, 3, 13500
0, 0, 49, 9, -2.9144595, 8, 4, 62, 52, 42, 50, 8, 8, 22, 999999, 0, 3, 13633
0, 0, 48, 9, -2.8534698, 7, 3, 61, 53, 43, 51, 7, 7, 25, 999999, 0, 3, 13766
0, 0, 48, 9, -2.7836523, 7, 3, 61, 53, 43, 51, 7, 7, 25, 999999, 0, 3, 13900
0, 0, 48, 9, -2.712418, 7, 3, 61, 53, 43, 51, 7, 7, 25, 999999, 0, 3, 14033
0, 0, 47, 9, 2.3646197, 6, 2, 60, 54, 42, 50, 6, 6, 28, 17, 1, 3, 15233
0, 0, 47, 9, 1.9413166, 6, 2, 60, 54, 42, 50, 6, 6, 28, 17, 1, 3, 15366
0, 0, 47, 10, 1.8428731, 7, 3, 59, 53, 41, 49, 7, 7, 27, 16, 1, 3, 15500
0, 0, 47, 10, 1.6257511, 7, 3, 59, 53, 41, 49, 7, 7, 27, 16, 1, 3, 15633
0, 0, 47, 10, 1.5752546, 7, 3, 59, 53, 41, 49, 7, 7, 27, 15, 1, 3, 15766

0, 0, 46, 18, 1.8184094, 14, 10, 50, 46, 34, 40, 14, 14, 37, 999999, 0, 3, 19766
BotName, Behaviour, PositionX, PositionY, OrientationX, OrientationY,  DistanceToEnemyFlag, DistanceToOwnFlag, DistanceToEnemyBase, DistanceToOwnBase, DistanceToEnemyFlagScore, DistanceToOwnFlagScore, DistanceToEnemyFlagSpawn, DistanceToOwnFlagSpawn, Visibility, DistanceToNearestEnemy, GameState


1, 0, 46, 9, 2.3705053, 5, 1, 59, 55, 43, 49, 5, 5, 28, 999999, 0, 3, 14166

1, 0, 44, 11, 2.3252308, 5, 5, 55, 55, 43, 45, 5, 5, 34, 999999, 0, 3, 16033
