@relation 'TrainingData-weka.filters.unsupervised.attribute.Remove-R1,3-4,18-weka.filters.unsupervised.attribute.Remove-R3-4'

@attribute ' Behaviour' {0,1,2,3}
@attribute ' Orientation' numeric
@attribute ' DistanceToEnemyBase' numeric
@attribute ' DistanceToOwnBase' numeric
@attribute ' DistanceToEnemyFlagScore' numeric
@attribute ' DistanceToOwnFlagScore' numeric
@attribute ' DistanceToEnemyFlagSpawn' numeric
@attribute ' DistanceToOwnFlagSpawn' numeric
@attribute ' Visibility' numeric
@attribute ' DistanceToNearestEnemy' numeric
@attribute ' seesEnemy' {0,1}
@attribute ' GameState' numeric

@data
1,-2.908349,62,64,52,52,6,6,24,999999,0,3
1,-2.909686,61,65,53,51,5,5,23,999999,0,3
1,-2.500974,62,66,54,52,6,6,20,999999,0,3
1,-2.342993,61,67,55,51,7,7,19,999999,0,3
1,1.396263,63,69,57,53,9,9,16,999999,0,3
1,1.396263,63,69,57,53,9,9,16,999999,0,3
1,1.726679,63,69,57,53,9,9,16,999999,0,3
1,1.962865,63,69,57,53,9,9,16,999999,0,3
1,1.260101,62,68,56,52,8,8,20,999999,0,3
1,1.370509,62,68,56,52,8,8,20,999999,0,3
1,1.321742,62,68,56,52,8,8,20,999999,0,3
1,1.310399,61,67,55,51,7,7,19,999999,0,3
1,1.307761,61,67,55,51,7,7,19,999999,0,3
1,1.307148,61,67,55,51,7,7,19,999999,0,3
1,1.307005,60,66,54,50,6,6,20,999999,0,3
1,1.306972,60,66,54,50,6,6,20,999999,0,3
1,1.306964,59,65,53,49,5,5,24,999999,0,3
1,1.306963,60,64,52,50,4,4,26,999999,0,3
1,1.306962,60,64,52,50,4,4,26,999999,0,3
1,1.306962,59,63,51,49,3,3,28,999999,0,3
1,1.354774,59,63,51,49,3,3,28,999999,0,3
1,1.388954,59,63,51,49,3,3,28,999999,0,3
1,1.396903,58,62,50,48,2,2,30,999999,0,3
1,1.398752,58,62,50,48,2,2,30,999999,0,3
1,1.399182,57,61,49,47,1,1,30,999999,0,3
1,1.399311,56,60,48,46,0,0,30,999999,0,3
1,1.399311,56,60,48,46,0,0,30,999999,0,3
1,1.399311,56,60,48,46,0,0,30,999999,0,3
1,1.399311,56,60,48,46,0,0,30,999999,0,3
1,1.399311,56,60,48,46,0,0,30,999999,0,3
1,1.399311,56,60,48,46,0,0,30,999999,0,3
1,1.399311,56,60,48,46,0,0,30,999999,0,3
1,1.399311,56,60,48,46,0,0,30,999999,0,3
1,1.399311,56,60,48,46,0,0,30,999999,0,3
1,1.399311,56,60,48,46,0,0,30,999999,0,3
1,1.399311,56,60,48,46,0,0,30,999999,0,3
1,1.399311,56,60,48,46,0,0,30,999999,0,3
1,1.399311,56,60,48,46,0,0,30,999999,0,3
1,1.399311,56,60,48,46,0,0,30,999999,0,3
1,3.136796,65,51,3,11,49,49,33,999999,0,3
1,3.14048,64,52,2,10,48,48,37,999999,0,3
1,3.141337,63,53,1,9,47,47,42,999999,0,3
1,3.141472,62,54,0,8,48,48,44,999999,0,3
1,3.141472,61,55,1,7,49,49,46,999999,0,3
1,2.92742,61,57,45,51,5,5,29,999999,0,3
1,2.865959,61,57,45,51,5,5,29,999999,0,3
1,1.15389,61,63,51,51,5,5,27,999999,0,3
1,1.152442,60,62,50,50,4,4,29,999999,0,3
1,1.459672,60,62,50,50,4,4,29,999999,0,3
1,1.578442,60,62,50,50,4,4,29,999999,0,3
1,1.606066,59,61,49,49,3,3,30,999999,0,3
1,1.612491,59,61,49,49,3,3,30,15,1,3
1,-2.744383,81,5,53,61,55,55,20,999999,0,3
1,-3.018213,81,5,53,61,55,55,20,999999,0,3
1,3.141053,81,5,53,61,55,55,20,999999,0,3
1,3.112231,81,5,53,61,55,55,20,999999,0,3
1,3.105527,80,6,52,60,54,54,20,999999,0,3
1,3.116505,79,7,51,59,53,53,22,999999,0,3
1,3.120987,78,8,50,58,52,52,24,999999,0,3
1,3.122029,77,9,49,57,51,51,32,999999,0,3
1,3.122271,77,9,49,57,51,51,32,999999,0,3
1,-2.865057,76,10,48,56,50,50,35,999999,0,3
1,-1.986189,77,11,49,57,49,49,30,999999,0,3
1,-2.072212,78,12,50,58,48,48,26,999999,0,3
1,-2.316676,77,13,49,57,47,47,33,999999,0,3
1,-2.373532,77,15,49,57,45,45,33,999999,0,3
1,-2.375735,77,15,49,57,45,45,33,999999,0,3
1,-2.359587,77,17,49,57,43,43,35,999999,0,3
1,-2.355831,77,17,49,57,43,43,35,999999,0,3
1,-2.354958,77,19,49,57,41,41,38,999999,0,3
1,-2.355951,78,20,50,58,40,40,42,999999,0,3
1,-2.356182,77,21,49,57,39,39,43,999999,0,3
1,-2.356236,78,22,50,58,38,38,47,999999,0,3
1,-2.356249,77,23,49,57,37,37,50,999999,0,3
1,-2.35625,77,25,49,57,35,35,52,999999,0,3
1,-2.35625,78,26,50,58,34,34,51,999999,0,3
1,-2.35625,77,27,49,57,33,33,39,999999,0,3
1,-1.823692,78,28,50,58,32,32,39,999999,0,3
1,-1.617901,78,28,50,58,32,32,39,999999,0,3
1,-1.57004,79,29,51,59,31,31,48,999999,0,3
1,-2.190155,79,31,51,59,29,29,50,999999,0,3
1,-2.396282,79,31,51,59,29,29,50,999999,0,3
1,-2.444221,79,33,51,59,29,29,57,999999,0,3
1,-2.423675,79,33,51,59,29,29,57,999999,0,3
1,-2.37098,79,35,51,59,29,29,58,999999,0,3
1,-2.358724,80,36,52,60,30,30,58,999999,0,3
1,-2.356254,79,37,51,59,29,29,58,999999,0,3
1,-2.356254,80,38,52,60,28,28,58,999999,0,3
1,-2.356254,79,39,51,59,27,27,56,999999,0,3
1,-2.356254,79,41,51,59,25,25,53,999999,0,3
1,-2.525784,79,41,51,59,25,25,53,999999,0,3
1,-2.646966,79,43,51,59,23,23,49,999999,0,3
1,-2.675151,78,44,50,58,22,22,46,999999,0,3
1,-2.986839,78,44,50,58,22,22,46,999999,0,3
1,-3.106271,77,45,49,57,21,21,42,999999,0,3
1,-3.134049,76,46,48,56,20,20,33,999999,0,3
1,-3.137927,74,48,46,54,18,18,21,999999,0,3
1,-2.093275,74,48,46,54,18,18,21,999999,0,3
1,-1.689164,75,49,47,55,19,19,28,999999,0,3
1,-1.595184,75,49,47,55,19,19,28,999999,0,3
1,-1.573324,75,49,47,55,19,19,28,999999,0,3
1,-2.892882,75,49,47,55,19,19,28,999999,0,3
1,2.879613,74,50,46,54,18,18,25,19,1,3
1,2.760845,74,50,46,54,18,18,25,19,1,3
1,-2.968641,58,56,44,48,4,4,31,999999,0,3
1,-2.807241,57,57,45,47,3,3,32,999999,0,3
1,-2.769702,57,57,45,47,3,3,32,999999,0,3
1,-2.028502,75,37,47,55,25,25,58,999999,0,3
1,-1.465315,76,40,48,56,26,26,53,999999,0,3
1,-2.112352,76,40,48,56,26,26,53,999999,0,3
1,-2.26283,76,40,48,56,26,26,53,999999,0,3
1,-2.297828,77,41,49,57,25,25,53,999999,0,3
1,-2.305968,76,42,48,56,24,24,47,999999,0,3
1,-2.307861,77,43,49,57,23,23,47,999999,0,3
1,-2.308301,76,44,48,56,22,22,41,999999,0,3
1,-2.308404,77,45,49,57,21,21,42,999999,0,3
1,-2.889817,76,46,48,56,20,20,33,999999,0,3
1,-3.11759,75,47,47,55,19,19,25,999999,0,3
1,3.112622,74,48,46,54,18,18,21,999999,0,3
1,-2.915501,74,48,46,54,18,18,21,999999,0,3
1,-2.452007,74,50,46,54,18,18,25,999999,0,3
1,-2.344215,74,52,46,54,18,18,25,999999,0,3
1,-2.585589,74,52,46,54,18,18,25,999999,0,3
1,-3.044485,73,53,45,53,17,17,24,999999,0,3
1,3.131979,72,54,44,52,16,16,22,999999,0,3
1,-2.908425,72,54,44,52,16,16,22,999999,0,3
1,-2.908425,73,57,47,55,17,17,18,999999,0,3
1,-0.968419,73,57,47,55,17,17,18,999999,0,3
1,-0.517236,72,56,46,54,16,16,21,999999,0,3
1,-0.412308,72,56,46,54,16,16,21,999999,0,3
1,-1.73449,73,57,47,55,17,17,21,999999,0,3
1,-2.691384,73,57,47,55,17,17,21,999999,0,3
1,-2.913924,72,58,48,56,16,16,19,999999,0,3
1,-2.965681,72,58,48,56,16,16,19,999999,0,3
1,-2.977719,71,59,49,57,15,15,15,999999,0,3
1,-2.980519,71,59,49,57,15,15,15,999999,0,3
1,-2.660451,71,59,49,57,15,15,15,999999,0,3
1,-2.586016,70,60,50,58,14,14,11,999999,0,3
1,-2.568702,71,61,51,59,15,15,19,999999,0,3
1,-2.564676,71,61,51,59,15,15,19,999999,0,3
1,-2.563739,70,62,52,60,14,14,21,999999,0,3
1,2.438259,63,57,45,53,7,7,28,999999,0,3
1,2.311746,64,58,46,54,8,8,26,999999,0,3
1,2.192823,64,58,46,54,8,8,26,999999,0,3
1,2.084895,64,58,46,54,8,8,26,999999,0,3
1,1.989092,64,60,48,54,8,8,24,999999,0,3
1,2.005127,63,59,47,53,7,7,28,999999,0,3
1,1.853123,63,59,47,53,7,7,28,999999,0,3
1,1.817769,63,59,47,53,7,7,28,999999,0,3
1,1.809547,62,58,46,52,6,6,29,999999,0,3
1,-2.685915,79,3,51,59,57,57,19,77,1,3
1,-2.685915,79,3,51,59,57,57,19,77,1,3
1,-2.715306,77,7,49,57,53,53,30,999999,0,3
1,-2.784203,77,9,49,57,51,51,32,999999,0,3
1,-2.800228,77,9,49,57,51,51,32,999999,0,3
1,-2.66331,76,10,48,56,50,50,35,999999,0,3
1,2.265639,67,51,41,49,11,11,32,26,1,3
1,2.265554,67,51,41,49,11,11,32,999999,0,3
1,2.996817,66,52,42,50,10,10,31,999999,0,3
1,2.371014,66,52,42,50,10,10,31,999999,0,3
1,1.280235,66,52,42,50,10,10,31,999999,0,3
1,-0.254656,66,52,42,50,10,10,31,999999,0,3
1,-0.611622,66,52,42,50,10,10,31,999999,0,3
1,-0.694639,67,51,41,49,11,11,32,999999,0,3
1,-1.110952,68,52,42,50,12,12,27,999999,0,3
1,-1.399229,69,53,43,51,13,13,22,999999,0,3
1,-1.466271,70,54,44,52,14,14,21,999999,0,3
1,-1.777932,70,54,44,52,14,14,21,999999,0,3
1,-1.993193,71,55,45,53,15,15,21,999999,0,3
1,-2.043256,72,56,46,54,16,16,15,999999,0,3
1,-2.0549,73,57,47,55,17,17,18,999999,0,3
1,-2.142245,72,58,48,56,16,16,19,999999,0,3
1,-2.923794,71,59,49,57,15,15,15,999999,0,3
1,-2.662234,83,3,53,61,61,61,16,999999,0,3
1,-2.662234,83,3,53,61,61,61,16,999999,0,3
1,-2.489676,83,3,53,61,61,61,16,999999,0,3
1,-2.274238,83,3,53,61,61,61,16,999999,0,3
1,-2.224134,82,4,52,60,60,60,16,999999,0,3
1,-2.21248,81,3,51,59,59,59,18,999999,0,3
1,-2.20977,81,3,51,59,59,59,18,999999,0,3
1,-2.209139,79,3,51,59,57,57,19,999999,0,3
1,-2.409412,79,3,51,59,57,57,19,46,1,3
1,-2.820261,77,9,49,57,51,51,32,999999,0,3
1,-2.822661,76,10,48,56,50,50,35,999999,0,3
1,-2.182296,77,11,49,57,49,49,30,999999,0,3
1,-2.019589,78,12,50,58,48,48,26,999999,0,3
1,-2.003653,77,13,49,57,47,47,33,999999,0,3
1,-1.999947,78,14,50,58,46,46,32,999999,0,3
1,-2.066922,79,15,51,59,45,45,33,999999,0,3
1,-2.185036,78,16,50,58,44,44,34,999999,0,3
1,-2.212509,78,18,50,58,42,42,38,999999,0,3
1,-2.26052,79,19,51,59,41,41,39,999999,0,3
1,-2.291763,79,19,51,59,41,41,39,999999,0,3
1,-2.299029,79,21,51,59,39,39,44,999999,0,3
1,-2.300719,79,21,51,59,39,39,44,999999,0,3
1,-2.311827,79,23,51,59,37,37,50,999999,0,3
1,-2.330607,79,25,51,59,35,35,54,999999,0,3
1,-2.334974,79,25,51,59,35,35,54,999999,0,3
1,-2.33599,79,27,51,59,33,33,51,999999,0,3
1,-2.295935,79,27,51,59,33,33,51,999999,0,3
1,-2.28042,79,29,51,59,31,31,48,999999,0,3
1,-2.276812,80,30,52,60,30,30,53,999999,0,3
1,-2.391127,79,31,51,59,29,29,50,999999,0,3
1,-2.435433,80,32,52,60,30,30,56,999999,0,3
1,-2.445738,79,33,51,59,29,29,57,999999,0,3
1,-2.384383,80,34,52,60,30,30,59,999999,0,3
1,-2.360303,79,35,51,59,29,29,58,999999,0,3
1,-2.354702,79,37,51,59,29,29,58,999999,0,3
1,3.074829,66,52,42,50,10,10,31,999999,0,3
1,2.724557,66,52,42,50,10,10,31,999999,0,3
1,2.643097,65,53,43,51,9,9,27,999999,0,3
1,2.62415,65,53,43,51,9,9,27,999999,0,3
1,2.619743,64,52,42,50,8,8,32,999999,0,3
1,1.284646,60,70,58,52,10,10,17,999999,0,3
1,0.756474,60,70,58,52,10,10,17,999999,0,3
1,0.633641,61,69,57,51,9,9,21,999999,0,3
1,0.605071,61,69,57,51,9,9,21,999999,0,3
1,1.275431,60,68,56,50,8,8,18,999999,0,3
1,1.431332,60,68,56,50,8,8,18,999999,0,3
1,0.785398,60,70,58,52,10,10,17,999999,0,3
1,0.785398,60,70,58,52,10,10,17,999999,0,3
1,0.785398,60,70,58,52,10,10,17,999999,0,3
1,0.785398,60,70,58,52,10,10,17,999999,0,3
1,0.785398,60,70,58,52,10,10,17,999999,0,3
1,0.785398,60,70,58,52,10,10,17,999999,0,3
1,-2.709838,85,3,53,61,63,63,18,999999,0,3
1,-2.804556,85,3,53,61,63,63,18,999999,0,3
1,-2.826588,85,3,53,61,63,63,18,999999,0,3
1,-2.831711,85,3,53,61,63,63,18,999999,0,3
1,-2.832903,84,2,54,62,62,62,18,999999,0,3
1,-2.684649,83,1,53,61,61,61,19,999999,0,3
1,-1.962855,77,11,49,57,49,49,30,999999,0,3
1,-2.633312,75,23,47,55,37,37,51,19,1,3
1,-2.612185,74,24,46,54,36,36,54,19,1,3
1,-2.756568,73,25,45,53,35,35,55,18,1,3
